"No.21 日程による失敗を避けるために / ノーマン・カーノベール",http://xn--97-273ae6a4irb6e2h2ia0cn0g4a2txf4ah5wo4af612j.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E6%97%A5%E7%A8%8B%E3%81%AB%E3%82%88%E3%82%8B%E5%A4%B1%E6%95%97%E3%82%92%E9%81%BF%E3%81%91%E3%82%8B%E3%81%9F%E3%82%81%E3%81%AB
"No.22 アーキテクチャーではトレードオフは避けられない / マーク・リチャーズ",http://xn--97-273ae6a4irb6e2h2ia0cn0g4a2txf4ah5wo4af612j.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E3%82%A2%E3%83%BC%E3%82%AD%E3%83%86%E3%82%AF%E3%83%81%E3%83%A3%E3%83%BC%E3%81%A6%E3%82%99%E3%81%AF%E3%83%88%E3%83%AC%E3%83%BC%E3%83%88%E3%82%99%E3%82%AA%E3%83%95%E3%81%AF%E9%81%BF%E3%81%91%E3%82%89%E3%82%8C%E3%81%AA%E3%81%84
"No.23 要塞としてのデータベース / ダン・チャック",http://xn--97-273ae6a4irb6e2h2ia0cn0g4a2txf4ah5wo4af612j.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E8%A6%81%E5%A1%9E%E3%81%A8%E3%81%97%E3%81%A6%E3%81%AE%E3%83%86%E3%82%99%E3%83%BC%E3%82%BF%E3%83%98%E3%82%99%E3%83%BC%E3%82%B9
"No.24 不確定性が潜むという感覚を磨け / ケブリン・ヘニー",http://xn--97-273ae6a4irb6e2h2ia0cn0g4a2txf4ah5wo4af612j.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E4%B8%8D%E7%A2%BA%E5%AE%9A%E6%80%A7%E3%81%8B%E3%82%99%E6%BD%9C%E3%82%80%E3%81%A8%E3%81%84%E3%81%86%E6%84%9F%E8%A6%9A%E3%82%92%E7%A3%A8%E3%81%91
"No.25 鏡に映る問題は見かけよりも大きい / デーブ・クイック",http://xn--97-273ae6a4irb6e2h2ia0cn0g4a2txf4ah5wo4af612j.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E9%8F%A1%E3%81%AB%E6%98%A0%E3%82%8B%E5%95%8F%E9%A1%8C%E3%81%AF%E8%A6%8B%E3%81%8B%E3%81%91%E3%82%88%E3%82%8A%E3%82%82%E5%A4%A7%E3%81%8D%E3%81%84
"No.26 再利用は、アーキテクチャーだけではなく人と教育の問題と心得よ / ジェレミー・メイヤー",http://xn--97-273ae6a4irb6e2h2ia0cn0g4a2txf4ah5wo4af612j.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E5%86%8D%E5%88%A9%E7%94%A8%E3%81%AF%E3%80%81%E3%82%A2%E3%83%BC%E3%82%AD%E3%83%86%E3%82%AF%E3%83%81%E3%83%A3%E3%83%BC%E3%81%9F%E3%82%99%E3%81%91%E3%81%A6%E3%82%99%E3%81%AF%E3%81%AA%E3%81%8F%E4%BA%BA%E3%81%A8%E6%95%99%E8%82%B2%E3%81%AE%E5%95%8F%E9%A1%8C%E3%81%A8%E5%BF%83%E5%BE%97%E3%82%88
"No.27 アーキテクチャーにI(自我)なし / デーブ・クイック",http://xn--97-273ae6a4irb6e2h2ia0cn0g4a2txf4ah5wo4af612j.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E3%82%A2%E3%83%BC%E3%82%AD%E3%83%86%E3%82%AF%E3%83%81%E3%83%A3%E3%83%BC%E3%81%ABI(%E8%87%AA%E6%88%91)%E3%81%AA%E3%81%97
"No.28 地上300mからの目 / エリック・ドーネンバーグ",http://xn--97-273ae6a4irb6e2h2ia0cn0g4a2txf4ah5wo4af612j.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E5%9C%B0%E4%B8%8A300m%E3%81%8B%E3%82%89%E3%81%AE%E7%9B%AE
"No.29 選ぶ前に試せ / エリック・ドーネンバーグ",http://xn--97-273ae6a4irb6e2h2ia0cn0g4a2txf4ah5wo4af612j.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E9%81%B8%E3%81%B5%E3%82%99%E5%89%8D%E3%81%AB%E8%A9%A6%E3%81%9B
"No.30 ビジネスドメインを理解せよ / マーク・リチャーズ",http://xn--97-273ae6a4irb6e2h2ia0cn0g4a2txf4ah5wo4af612j.com/%E3%82%A8%E3%83%83%E3%82%BB%E3%82%A4/%E3%83%92%E3%82%99%E3%82%B7%E3%82%99%E3%83%8D%E3%82%B9%E3%83%88%E3%82%99%E3%83%A1%E3%82%A4%E3%83%B3%E3%82%92%E7%90%86%E8%A7%A3%E3%81%9B%E3%82%88
